代码,名称,行业,买入判定,诊断框架,最高分,触发类型,DCF有效,空头漏洞,type1总分,type1触发,type1否决,1a子分,1a依据,1b子分,1b依据,1c子分,1c依据,1d子分,1d依据,type1元信息JSON,type2总分,type2触发,type2否决,2a子分,2a依据,2b子分,2b依据,2c子分,2c依据,2d子分,2d依据,type2元信息JSON,type3总分,type3触发,type3否决,3a子分,3a依据,3b子分,3b依据,3c子分,3c依据,3d子分,3d依据,3e子分,3e依据,type3元信息JSON,type4总分,type4触发,type4否决,4a子分,4a依据,4b子分,4b依据,4c子分,4c依据,4d子分,4d依据,4e子分,4e依据,4f子分,4f依据,type4元信息JSON,type5总分,type5触发,type5否决,5a子分,5a依据,5b子分,5b依据,5c子分,5c依据,5d子分,5d依据,5e子分,5e依据,type5元信息JSON,type6总分,type6触发,type6否决,6a子分,6a依据,6b子分,6b依据,6c子分,6c依据,6d子分,6d依据,6e子分,6e依据,type6元信息JSON,type7总分,type7触发,type7否决,7a子分,7a依据,7b子分,7b依据,7c子分,7c依据,type7元信息JSON,DCF状态,DCF跳过分类,DCF跳过原因,DCF区域,DCF当前价,DCF买入区上界,DCF卖出区下界,DCF安全边际%,DCF基础WACC,DCF基础FCF,DCF参数JSON,DCF_pessimistic_lower,DCF_pessimistic_upper,DCF_neutral_lower,DCF_neutral_upper,DCF_optimistic_lower,DCF_optimistic_upper
000628,高新发展,CONSTRUCTION,无触发（不买）,2️⃣ 两热一冷,3.0,,False,_veto 1.0分:产业与公司热度平均须>4；_condition 1.0分:估值须合理或满足强周期修正；2d 1.0分:当前PB/行业3.4倍,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",3.0,False,True,1.37,产业聚合增速-5.0%,2.0,最新同口径现金恶化,7.3,证据:patch6-type2c-qua,1.0,当前PB/行业3.4倍,"{""_applicable"":""yes"",""_condition"":""估值须合理或满足强周期修正"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""平稳产业反转型市值超过100亿元"",""_status"":""not_applicable""}",2.6,False,False,2.595,第1模板25.95,2.199,第5模板21.99,2.923,补丁529.23;安6.2,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,ttm_fcff_nonpositive,,,,,,,,{},,,,,,
000717,中南股份,STEEL,无触发（不买）,5️⃣ 强周期底部,4.1,,False,_veto 2.0分:周期阶段不符合；_condition 2.0分:须满足5a≥7且5c≥5；5a 2.0分:最新报告期利润为负,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",3.9,False,True,1.0,产业聚合增速-8.0%,1.0,拐点1项:最新同口径利润增,7.0,证据:patch6-type2c-qua,7.87,当前PB/行业0.7倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",4.1,False,True,2.0,最新报告期利润为负,4.0,量化底部信号4项,3.0,最新报告期利润为负,9.0,峰谷弹性67.4倍,9.0,PB0.78破净,"{""_applicable"":""yes"",""_condition"":""须满足5a≥7且5c≥5"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""周期阶段不符合""}",3.3,False,True,1.0,产业增速-8.0%,3.0,证据:patch6-observable,3.8,证据:patch6-observable,2.0,最新同口径经营现金流降幅≥50%,9.0,"建议单票≤3%,组合≤15%","{""_applicable"":""yes"",""_condition"":""须确认实际仓位符合建议上限"",""_evidence"":""complete"",""_profile"":""平稳产业反转型"",""_risk"":""最坏归零时组合最大损失≤3%"",""_status"":""vetoed"",""_veto"":""仅0项核心证据≥5""}",2.8,False,False,2.806,第1模板28.06,2.488,第5模板24.88,3.216,补丁532.16;安6.3,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,nonpositive_pessimistic_equity_value,,,,,,,,{},,,,,,
000719,中原传媒,MEDIA,无触发（不买）,2️⃣ 两热一冷,5.4,,True,_veto 3.53分:产业与公司热度平均须>4；2a 3.53分:产业聚合增速2.6%；2b 4.0分:拐点1项:现金流支撑,5.3,False,True,1.5,远离买入区15%,9.0,五项满分4项,7.8,FCF11.4%;末17.62亿,1.0,最新报告期经营现金流为负,"{""_applicable"":""yes"",""_condition"":""须进入模型买入区"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""买入区深度不足""}",5.4,False,True,3.53,产业聚合增速2.6%,4.0,拐点1项:现金流支撑,6.2,证据:patch6-type2c-qua,9.0,当前PB/行业0.4倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",4.5,False,False,1.5,证据:patch6-observable,2.0,最新报告期经营现金流为负,6.6,证据:patch6-observable,6.28,价格/10年中性终局1.0倍,8.4,证据:patch6-observable,10.0,乐观上沿透支0年,"{""_4f_formula"":""opt_upper_v1"",""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""not_triggered""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""平稳产业反转型市值超过100亿元"",""_status"":""not_applicable""}",4.7,False,False,4.839,第1模板48.39,4.098,第5模板40.98,5.032,补丁550.32;安9.2,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""缺3份外部研报"",""_status"":""insufficient_evidence""}",有效,,,观察区,12.0,10.397168369880095,14.510139436835438,-30.12,0.1252,1396780339.6230004,"{""neutral"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":-0.1,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.6,""structural_decline_evidence"":null,""terminal_g"":0.01,""wacc_base"":0.12524996709521197},""optimistic"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":0.0,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.85,""structural_decline_evidence"":null,""terminal_g"":0.02,""wacc_base"":0.12024996709521196},""pessimistic"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":-0.2,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.4,""structural_decline_evidence"":null,""terminal_g"":0.0,""wacc_base"":0.13524996709521198}}",9.101314336788858,9.22238722483966,11.571949514920533,11.945247014883973,17.075031858786904,18.154284683575654
000830,鲁西化工,CHEMICAL,无触发（不买）,2️⃣ 两热一冷,5.0,,False,_veto 2.0分:产业与公司热度平均须>4；2b 2.0分:拐点1项:现金流支撑；2a 2.78分:产业聚合增速1.3%,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",5.0,False,True,2.78,产业聚合增速1.3%,2.0,拐点1项:现金流支撑,7.9,证据:patch6-type2c-qua,8.69,当前PB/行业0.6倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",3.9,False,True,2.0,最新同口径经营现金流降幅≥50%,4.0,量化底部信号4项,3.0,最新同口径经营现金流降幅≥50%,9.0,峰谷弹性18.3倍,7.0,PB1.16低位,"{""_applicable"":""yes"",""_condition"":""须满足5a≥7且5c≥5"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""周期阶段不符合""}",0.0,False,False,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""平稳产业反转型市值超过100亿元"",""_status"":""not_applicable""}",3.8,False,False,3.89,第1模板38.90,3.514,第5模板35.14,4.081,补丁540.81;安6.7,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,nonpositive_pessimistic_equity_value,,,,,,,,{},,,,,,
001260,坤泰股份,AUTO_PARTS,无触发（不买）,2️⃣ 两热一冷,5.1,,True,_veto 2.0分:产业与公司热度平均须>4；2b 2.0分:最新同口径利润恶化；2a 5.3分:产业聚合增速6.1%,3.0,False,True,1.5,远离买入区725%,6.0,五项满分2项,1.5,FCF2.3%;末4304.49万,1.0,最新同口径利润降幅≥50%,"{""_applicable"":""yes"",""_condition"":""须进入模型买入区"",""_evidence"":""incomplete"",""_status"":""vetoed"",""_veto"":""买入区深度不足""}",5.1,False,True,5.3,产业聚合增速6.1%,2.0,最新同口径利润恶化,7.6,证据:patch6-type2c-qua,6.25,当前PB/行业1.0倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",3.1,False,False,3.5,证据:patch6-observable,2.0,最新同口径利润降幅≥50%,5.4,证据:patch6-observable,0.0,价格/10年中性终局6.8倍,8.2,证据:patch6-observable,0.0,乐观上沿透支30年+,"{""_4f_formula"":""opt_upper_v1"",""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""not_triggered""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""公司并非亏损或净利率≤5%的微利标的"",""_status"":""not_applicable""}",4.5,False,False,4.87,第1模板48.70,4.008,第5模板40.08,4.536,补丁545.36;安8.2,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",有效,,,卖出区,15.59,1.8892770520678204,2.734811001110747,-830.78,0.143,40963445.54,"{""neutral"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":-0.1,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.6,""structural_decline_evidence"":null,""terminal_g"":0.01,""wacc_base"":0.14297862018100227},""optimistic"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":0.0,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.85,""structural_decline_evidence"":null,""terminal_g"":0.02,""wacc_base"":0.13797862018100226},""pessimistic"":{""current_period_growth_cap_basis"":""missing_current_period_conservative_cap"",""forecast_years"":5,""growth"":-0.2,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.4,""structural_decline_evidence"":null,""terminal_g"":0.0,""wacc_base"":0.15297862018100228}}",1.6416752705940283,1.6749424759683604,2.1036116281672803,2.1779239154150956,3.2916980868063987,3.495484234645828
001285,瑞立科密,AUTO_PARTS,无触发（不买）,2️⃣ 两热一冷,5.4,,True,_veto 2.0分:产业与公司热度平均须>4；2b 2.0分:最新同口径现金恶化；2a 5.3分:产业聚合增速6.0%,3.9,False,True,1.5,远离买入区775%,9.0,五项满分4项,0.6,FCF0.9%;末6558.94万,1.0,最新同口径经营现金流转负,"{""_applicable"":""yes"",""_condition"":""须进入模型买入区"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""买入区深度不足""}",5.4,False,True,5.3,产业聚合增速6.0%,2.0,最新同口径现金恶化,7.5,证据:patch6-type2c-qua,8.15,归母利润趋势PEG1.0,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",4.1,False,False,5.7,证据:patch6-observable,2.0,最新同口径经营现金流转负,1.5,ROIC-WACC=-2.8%,5.0,弱代理2.0分:最新同口径经营现金流转负,7.5,证据:patch6-observable,"{""_applicable"":""yes"",""_evidence"":""incomplete"",""_status"":""insufficient_evidence""}",2.7,False,False,1.5,证据:patch6-observable,2.0,最新同口径经营现金流转负,6.0,证据:patch6-observable,0.0,价格/10年中性终局8.0倍,8.3,证据:patch6-observable,0.0,乐观上沿透支30年+,"{""_4f_formula"":""opt_upper_v1"",""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""not_triggered""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""公司并非亏损或净利率≤5%的微利标的"",""_status"":""not_applicable""}",4.7,False,False,5.137,第1模板51.37,4.036,第5模板40.36,4.963,补丁549.63;安9.1,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""科技股缺补丁4"",""_status"":""insufficient_evidence""}",有效,,,卖出区,39.83,4.553795902852297,5.46167883957688,-838.37,0.1424,65589383.23000002,"{""neutral"":{""current_period_growth_cap_basis"":""current_period_severe_deterioration"",""forecast_years"":5,""growth"":-0.1,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.6,""structural_decline_evidence"":null,""terminal_g"":0.01,""wacc_base"":0.14241845269216644},""optimistic"":{""current_period_growth_cap_basis"":""current_period_severe_deterioration"",""forecast_years"":5,""growth"":0.0,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.85,""structural_decline_evidence"":null,""terminal_g"":0.02,""wacc_base"":0.13741845269216643},""pessimistic"":{""current_period_growth_cap_basis"":""current_period_severe_deterioration"",""forecast_years"":5,""growth"":-0.2,""growth_evidence"":""historical_cagr_and_trend"",""margin_retention"":0.4,""structural_decline_evidence"":null,""terminal_g"":0.0,""wacc_base"":0.15241845269216645}}",4.188684850206238,4.24459476623724,4.862997039467355,4.984551326444452,5.9388063527093085,6.184078425094208
001301,尚太科技,CHEMICAL,无触发（不买）,2️⃣ 两热一冷,5.1,,False,_veto 2.78分:产业与公司热度平均须>4；2a 2.78分:产业聚合增速1.3%；2b 4.0分:最新同口径利润明显下滑,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",5.1,False,True,2.78,产业聚合增速1.3%,4.0,最新同口径利润明显下滑,6.1,证据:patch6-type2c-qua,8.43,归母利润趋势PEG1.0,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""产业与公司热度平均须>4""}",3.6,False,False,4.3,证据:patch6-observable,2.0,最新报告期经营现金流为负,1.5,ROIC-WACC=-0.2%,5.0,弱代理2.0分:最新报告期经营现金流为负,6.1,证据:patch6-observable,"{""_applicable"":""yes"",""_evidence"":""incomplete"",""_status"":""insufficient_evidence""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",2.9,False,True,2.0,最新报告期经营现金流为负,2.0,量化底部信号0项,3.0,最新报告期经营现金流为负,9.0,峰谷弹性14.6倍,2.0,周期估值不便宜,"{""_applicable"":""yes"",""_condition"":""须满足5a≥7且5c≥5"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""周期阶段不符合""}",0.0,False,False,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,0.0,平稳产业反转型市值超过100亿元,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""平稳产业反转型市值超过100亿元"",""_status"":""not_applicable""}",4.3,False,False,4.743,第1模板47.43,3.844,第5模板38.44,4.282,补丁542.82;安6.9,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,ttm_fcff_nonpositive,,,,,,,,{},,,,,,
001311,多利科技,AUTO_PARTS,无触发（不买）,2️⃣ 两热一冷,6.2,,False,2b 4.0分:年度利润明显下滑；2a 5.31分:产业聚合增速6.1%；2c 8.0分:证据:patch6-type2c-qua,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",6.2,False,False,5.31,产业聚合增速6.1%,4.0,年度利润明显下滑,8.0,证据:patch6-type2c-qua,8.46,当前PB/行业0.6倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""observe""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""公司并非亏损或净利率≤5%的微利标的"",""_status"":""not_applicable""}",3.6,False,False,3.872,第1模板38.72,3.19,第5模板31.90,3.84,补丁538.40;安7.2,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,ttm_fcff_nonpositive,,,,,,,,{},,,,,,
001360,南矿集团,INDUST_MACHINERY,无触发（不买）,2️⃣ 两热一冷,6.3,,False,2b 4.0分:最新同口径利润明显下滑；2a 6.01分:产业聚合增速8.5%；2d 7.81分:当前PB/行业0.7倍,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",6.3,False,False,6.01,产业聚合增速8.5%,4.0,最新同口径利润明显下滑,8.0,证据:patch6-type2c-qua,7.81,当前PB/行业0.7倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""observe""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",0.0,False,False,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,0.0,缺强周期产业证据,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""缺强周期产业证据"",""_status"":""not_applicable""}",0.0,False,False,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,0.0,公司并非亏损或净利率≤5%的微利标的,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""公司并非亏损或净利率≤5%的微利标的"",""_status"":""not_applicable""}",3.2,False,False,3.384,第1模板33.84,2.76,第5模板27.60,3.454,补丁534.54;安5.7,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,ttm_fcff_nonpositive,,,,,,,,{},,,,,,
002086,东方海洋,AGRICULTURE,无触发（不买）,2️⃣ 两热一冷,5.2,,False,2a 3.8分:产业聚合增速3.0%；2b 5.0分:拐点2项:现金流支撑+最新同口径利润增；2d 5.37分:当前PB/行业1.1倍,0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",5.2,False,False,3.8,产业聚合增速3.0%,5.0,拐点2项:现金流支撑+最新同口径利润增,6.8,证据:patch6-type2c-qua,5.37,当前PB/行业1.1倍,"{""_applicable"":""yes"",""_evidence"":""complete"",""_status"":""observe""}",0.0,False,False,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,0.0,趋势增速不足10%,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""趋势增速不足10%"",""_status"":""not_applicable""}",0.0,False,False,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,0.0,当前经济条件不适用估值,"{""_applicable"":""no"",""_evidence"":""complete"",""_scope"":""当前经济条件不适用估值"",""_status"":""not_applicable""}",3.4,False,True,2.0,最新报告期利润为负,4.0,量化底部信号2项,3.0,最新报告期利润为负,9.0,峰谷弹性22.8倍,2.0,周期估值不便宜,"{""_applicable"":""yes"",""_condition"":""须满足5a≥7且5c≥5"",""_evidence"":""complete"",""_status"":""vetoed"",""_veto"":""周期阶段不符合""}",5.2,False,False,3.0,产业增速3.0%,4.2,证据:patch6-observable,6.7,证据:patch6-observable,5.0,最新同口径利润改善,9.0,"建议单票≤3%,组合≤15%","{""_applicable"":""yes"",""_condition"":""须确认实际仓位符合建议上限"",""_evidence"":""complete"",""_profile"":""平稳产业反转型"",""_risk"":""最坏归零时组合最大损失≤3%"",""_status"":""observe""}",3.0,False,False,3.021,第1模板30.21,2.941,第5模板29.41,2.949,补丁529.49;安6.9,"{""_applicable"":""yes"",""_condition"":""三套分数均须严格大于70"",""_evidence"":""incomplete"",""_missing"":""核心分析不足80%"",""_status"":""insufficient_evidence""}",跳过,economic_not_applicable,ttm_fcff_nonpositive,,,,,,,,{},,,,,,
